# Renewables.ninja Solar PV (Point API) - 31.506, 120.978 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Shanghai, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Shanghai", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "31.50632272451808", "lon": "120.97843530274046", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 08:00,0.292,0.192,0.125,1.893
2019-01-01 01:00,2019-01-01 09:00,0.535,0.442,0.152,3.806
2019-01-01 02:00,2019-01-01 10:00,0.669,0.598,0.168,4.859
2019-01-01 03:00,2019-01-01 11:00,0.680,0.586,0.196,5.361
2019-01-01 04:00,2019-01-01 12:00,0.678,0.587,0.195,5.716
2019-01-01 05:00,2019-01-01 13:00,0.609,0.508,0.184,5.871
2019-01-01 06:00,2019-01-01 14:00,0.471,0.363,0.162,5.711
2019-01-01 07:00,2019-01-01 15:00,0.266,0.176,0.118,5.109
2019-01-01 08:00,2019-01-01 16:00,0.053,0.033,0.037,3.269
2019-01-01 09:00,2019-01-01 17:00,0,0,0,1.333
2019-01-01 10:00,2019-01-01 18:00,0,0,0,0.684
2019-01-01 11:00,2019-01-01 19:00,0,0,0,0.121
2019-01-01 12:00,2019-01-01 20:00,0,0,0,-0.362
2019-01-01 13:00,2019-01-01 21:00,0,0,0,-0.749
2019-01-01 14:00,2019-01-01 22:00,0,0,0,-1.016
2019-01-01 15:00,2019-01-01 23:00,0,0,0,-0.833
2019-01-01 16:00,2019-01-02 00:00,0,0,0,-0.661
2019-01-01 17:00,2019-01-02 01:00,0,0,0,-0.377
2019-01-01 18:00,2019-01-02 02:00,0,0,0,-0.370
2019-01-01 19:00,2019-01-02 03:00,0,0,0,-0.398
2019-01-01 20:00,2019-01-02 04:00,0,0,0,-0.516
2019-01-01 21:00,2019-01-02 05:00,0,0,0,-0.483
2019-01-01 22:00,2019-01-02 06:00,0,0,0,-0.419
2019-01-01 23:00,2019-01-02 07:00,0.037,0.015,0.037,0.289
2019-01-02 00:00,2019-01-02 08:00,0.168,0.056,0.132,1.911
2019-01-02 01:00,2019-01-02 09:00,0.334,0.154,0.211,3.548
2019-01-02 02:00,2019-01-02 10:00,0.437,0.223,0.259,4.654
2019-01-02 03:00,2019-01-02 11:00,0.454,0.218,0.285,5.262
2019-01-02 04:00,2019-01-02 12:00,0.426,0.187,0.285,5.721
2019-01-02 05:00,2019-01-02 13:00,0.320,0.104,0.250,5.929
2019-01-02 06:00,2019-01-02 14:00,0.205,0.049,0.182,5.879
2019-01-02 07:00,2019-01-02 15:00,0.106,0.023,0.105,5.549
