day_and_time,irradiance_direct,irradiance_diffuse
2019/1/1 00:00,0.084,0.138
2019/1/1 01:00,0.226,0.17
2019/1/1 02:00,0.341,0.181
2019/1/1 03:00,0.348,0.208
2019/1/1 04:00,0.351,0.205
2019/1/1 05:00,0.284,0.198
2019/1/1 06:00,0.19,0.172
2019/1/1 07:00,0.075,0.125
2019/1/1 08:00,0.008,0.037
2019/1/1 09:00,0,0
2019/1/1 10:00,0,0
2019/1/1 11:00,0,0
2019/1/1 12:00,0,0
2019/1/1 13:00,0,0
2019/1/1 14:00,0,0
2019/1/1 15:00,0,0
2019/1/1 16:00,0,0
2019/1/1 17:00,0,0
2019/1/1 18:00,0,0
2019/1/1 19:00,0,0
2019/1/1 20:00,0,0
2019/1/1 21:00,0,0
2019/1/1 22:00,0,0
2019/1/1 23:00,0.004,0.043
2019/1/2 00:00,0.027,0.144
2019/1/2 01:00,0.079,0.227
2019/1/2 02:00,0.125,0.278
2019/1/2 03:00,0.119,0.305
2019/1/2 04:00,0.09,0.302
2019/1/2 05:00,0.056,0.263
2019/1/2 06:00,0.029,0.195
2019/1/2 07:00,0.011,0.113
2019/1/2 08:00,0.001,0.026
2019/1/2 09:00,0,0
2019/1/2 10:00,0,0
2019/1/2 11:00,0,0
2019/1/2 12:00,0,0
2019/1/2 13:00,0,0
2019/1/2 14:00,0,0
2019/1/2 15:00,0,0
2019/1/2 16:00,0,0
2019/1/2 17:00,0,0
2019/1/2 18:00,0,0
2019/1/2 19:00,0,0
2019/1/2 20:00,0,0
2019/1/2 21:00,0,0
2019/1/2 22:00,0,0
2019/1/2 23:00,0.002,0.04
2019/1/3 00:00,0.016,0.129
2019/1/3 01:00,0.051,0.217
2019/1/3 02:00,0.091,0.274
2019/1/3 03:00,0.142,0.298
2019/1/3 04:00,0.185,0.286
2019/1/3 05:00,0.169,0.257
2019/1/3 06:00,0.098,0.212
2019/1/3 07:00,0.03,0.132
2019/1/3 08:00,0.003,0.032
2019/1/3 09:00,0,0
2019/1/3 10:00,0,0
2019/1/3 11:00,0,0
2019/1/3 12:00,0,0
2019/1/3 13:00,0,0
2019/1/3 14:00,0,0
2019/1/3 15:00,0,0
2019/1/3 16:00,0,0
2019/1/3 17:00,0,0
2019/1/3 18:00,0,0
2019/1/3 19:00,0,0
2019/1/3 20:00,0,0
2019/1/3 21:00,0,0
2019/1/3 22:00,0,0
2019/1/3 23:00,0.003,0.044
2019/1/4 00:00,0.008,0.119
2019/1/4 01:00,0.021,0.205
2019/1/4 02:00,0.029,0.257
2019/1/4 03:00,0.03,0.278
2019/1/4 04:00,0.015,0.233
2019/1/4 05:00,0.005,0.155
2019/1/4 06:00,0.008,0.156
2019/1/4 07:00,0.004,0.094
2019/1/4 08:00,0.001,0.021
2019/1/4 09:00,0,0
2019/1/4 10:00,0,0
2019/1/4 11:00,0,0
2019/1/4 12:00,0,0
2019/1/4 13:00,0,0
2019/1/4 14:00,0,0
2019/1/4 15:00,0,0
2019/1/4 16:00,0,0
2019/1/4 17:00,0,0
2019/1/4 18:00,0,0
2019/1/4 19:00,0,0
2019/1/4 20:00,0,0
2019/1/4 21:00,0,0
2019/1/4 22:00,0,0
2019/1/4 23:00,0,0.013
2019/1/5 00:00,0.001,0.046
2019/1/5 01:00,0.002,0.093
2019/1/5 02:00,0.003,0.135
2019/1/5 03:00,0.004,0.157
2019/1/5 04:00,0.005,0.165
2019/1/5 05:00,0.005,0.16
2019/1/5 06:00,0.004,0.123
